match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20200307-M-Davis_Cup_WG_II-RR-Ernests_Gulbis-Mohamed_Safwat,ernests_gulbis,mohamed_safwat,r,r,m,20200307,davis_cup_wg_ii,rr,,,hard,,3,1,ahmedabdelaal,2020,6,6,6
20200307-M-Davis_Cup_Qualifiers-RR-Alexander_Bublik-Robin_Haase,alexander_bublik,robin_haase,r,r,m,20200307,davis_cup_qualifiers,rr,,Centre,hard,Ahmed Abdel-Azim,3,1,Zindaras,2020,6,6,6
20200306-M-Davis_Cup_WG_II-RR-Ernests_Gulbis-Karim_Mohamed_Maamoun,ernests_gulbis,karim_mohamed_maamoun,r,r,m,20200306,davis_cup_wg_ii,rr,,,hard,,3,1,ahmedabdelaal,2020,6,6,6
20200306-M-Davis_Cup_Qualifiers-RR-Mikhail_Kukushkin-Robin_Haase,mikhail_kukushkin,robin_haase,r,r,m,20200306,davis_cup_qualifiers,rr,14:10:00,Centre,hard,James Keothavong,3,1,Zindaras,2020,6,6,6
20200306-M-Davis_Cup_Qualifiers-RR-Alexander_Bublik-Tallon_Griekspoor,alexander_bublik,tallon_griekspoor,r,r,m,20200306,davis_cup_qualifiers,rr,17:10:00,Centre,hard,Ahmed Abdel-Azim,3,1,Zindaras,2020,6,6,6
20200301-M-Pau_CH-F-Ernests_Gulbis-Jerzy_Janowicz,ernests_gulbis,jerzy_janowicz,r,r,m,20200301,pau_ch,f,,Center,hard,,3,1,Zindaras,2020,6,6,6
20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,novak_djokovic,stefanos_tsitsipas,r,r,m,20200229,dubai,f,7pm,Centre,hard,Aurélie Tourte,3,1,Edo,2020,6,6,6
20200228-M-Dubai-SF-Novak_Djokovic-Gael_Monfils,novak_djokovic,gael_monfils,r,r,m,20200228,dubai,sf,19:10:00,Centre,hard,Mohamed El Jennati,3,1,Zindaras,2020,6,6,6
20200225-M-Dubai-R32-Marin_Cilic-Benoit_Paire,marin_cilic,benoit_paire,r,r,m,20200225,dubai,r32,14:10:00,Centre,hard,Mohamed El Jennati,3,1,Zindaras,2020,6,6,6
20200224-M-Acapulco-R32-Stanislas_Wawrinka-Francis_Tiafoe,stanislas_wawrinka,francis_tiafoe,r,r,m,20200224,acapulco,r32,21:15:00,Estadio,hard,,3,1,Zindaras,2020,6,6,6
